Ground,LOB,ROB,KM
-14.21100044,1.746999979,0.727999985,0
-14.01099968,1.947000027,0.772000015,9.789
-13.61100006,2.346999884,1.485000014,15.215
-13.61100006,2.346999884,1.485000014,26.69
-10.20600033,0.972000003,2.352999926,42.336
-9.699999809,3.960999966,5.133999825,51.857
-9.19299984,1.271999955,1.659000039,52.741
-7.402999878,1.692999959,1.386999965,53.829
-9.711999893,1.167999983,1.80400002,54.827
-8.791999817,0.196999997,2.20600009,55.825
-6.989999771,1.139999986,1.401000023,56.834
-8.274999619,2.237999916,0.867999971,57.849
-7.361000061,0.68599999,-0.107000001,58.832
-8.534000397,1.110000014,1.717000008,59.869
-10.10999966,1.09800005,1.802999973,60.879
-8.102000237,1.687999964,1.371999979,61.873
-10.35000038,-0.77700001,1.756000042,62.88
-8.076000214,2.03399992,1.85800004,63.899
-7.679999828,1.787999988,1.684000015,64.907
-8.616999626,1.712000012,2.336999893,65.912
-7.486000061,2.013999939,1.799999952,66.905
-6.018000126,1.940000057,0.939999998,67.906
-5.613999844,-0.685000002,0.768999994,68.906
-6.686999798,1.299999952,-1.088000059,69.9
-8.06799984,-1.289999962,1.177999973,70.939
-8.81000042,1.190999985,1.248999953,71.923
-5.820000172,1.373000026,1.136000037,72.928
-6.215000153,0.714999974,0.781000018,73.92
-6.427999973,1.664000034,1.322000027,74.922
-7.580999851,1.171000004,1.125,75.946
-7.296999931,1.475999951,1.031000018,76.943
-7.938000202,1.100999951,1.231999993,77.941
-7.697999954,0.926999986,1.48300004,78.956
-7.175000191,1.294999957,1.559000015,79.972
-5.840000153,1.151000023,1.014000058,80.97
-7.375999928,2.197000027,1.769000053,81.955
-7.421999931,1.220999956,1.16900003,82.961
-6.46999979,1.842000008,2.660000086,83.319
-5.860000134,1.182000041,1.118999958,83.958
-8.684000015,7.70E-02,0.136000007,84.979
-7.959000111,1.105000019,1.243000031,85.98
-7.204999924,1.233999968,1.332000017,87.005
-8.850999832,1.388000011,1.136999965,88.009
-6.979000092,-0.153999999,1.626999974,89.026
-7.25,1.463000059,1.582999945,90.034
-7.170000076,2.84100008,1.940999985,91.036
-6.110000134,1.776000023,2.072999954,92.042
-6.335999966,1.92900002,2.344000101,93.044
-6.59499979,1.437999964,2.411999941,94.049
-6.183000088,0.698000014,1.246999979,95.052
-6.460000038,1.753000021,0.460000008,96.051
-10.52000046,0.345999986,2.95600009,97.958
-7.407999992,2.522000074,2.338999987,97.97
-7.28399992,2.769999981,2.61500001,98.055
-6.995999813,1.832999945,1.797999978,99.064
-7.079999924,2.038000107,1.057999969,100.072
-11.01599979,1.238999963,1.710999966,101.085
-6.59100008,1.217000008,2.760999918,101.98
-7.959000111,0.856000006,1.243000031,102.073
-7.826000214,1.246000051,2.624000072,103.094
-6.563000202,0.809000015,2.237999916,104.119
-7.998000145,1.286000013,1.256999969,105.111
-6.517000198,2.319999933,1.631999969,106.122
-6.260000229,2.546999931,2.510999918,107.111
-6.581999779,1.222000003,1.968999982,108.13
-6.981999874,2.999000072,1.172000051,109.114
-6.400000095,0.995999992,1.358999968,110.128
-6.789999962,2.296000004,1.231999993,111.127
-8.510000229,1.296000004,2.117000103,112.126
-7.978000164,1.996000051,2.372999907,113.131
-6.659999847,2.16899991,3.483999968,114.151
-8.43999958,2.236999989,1.963999987,115.155
-6.139999866,2.232000113,1.549000025,116.152
-5.260000229,2.684999943,1.445000052,117.191
-5.275000095,1.881999969,2.76699996,118.155
-6.552999973,2.551000118,2.229000092,119.166
-5.414999962,0.958999991,2.72300005,120.177
-6.293000221,1.393000007,2.424000025,121.176
-6.43599987,3.005000114,3.184000015,122.175
-5.254000187,-0.107000001,2.302000046,123.189
-6.472000122,1.967000008,3.388000011,124.18
-6.548999786,1.598999977,2.529000044,125.196
-4.53000021,1.297999978,2.358999968,126.182
-3.306999922,3.173000097,2.384000063,127.178
-7.750999928,2.357000113,3.121999979,128.185
-5.840000153,2.70600009,1.771999955,129.195
-7.335999966,2.322999954,1.682999969,130.192
-5.335000038,2.809000015,2.743999958,131.193
-4.847000122,2.122999907,1.465000033,132.202
-6.114999771,1.628000021,1.868999958,133.205
-4.399000168,1.243999958,2.789999962,134.197
-6.967000008,1.144000053,1.672000051,135.199
-5.393000126,2.282999992,3.303999901,136.205
-6.425000191,1.618999958,3.384000063,137.215
-5.872000217,2.444000006,2.200000048,138.205
-6.921999931,-0.181999996,1.799000025,139.215
-5.380000114,2.007999897,2.272000074,140.206
-3.25999999,2.35800004,2.279000044,141.217
-3.549999952,2.770999908,1.94599998,142.216
-3.921000004,2.654000044,2.703999996,143.049
-2.744999886,2.694000006,2.72300005,143.228
-6.44299984,2.684000015,3.22300005,144.224
-5.296999931,1.358999968,2.673000097,145.248
-4.778999805,2.263000011,1.699000001,146.243
-5.809999943,1.769000053,2.111000061,147.229
-4.172999859,1.322000027,1.77699995,148.238
-4.313000202,0.145999998,1.139999986,149.211
-5.409999847,1.84800005,2.763000011,150.217
-4.596000195,1.031999946,1.562000036,151.22
-4.293000221,2.276000023,2.523999929,152.236
-3.440999985,2.013000011,1.74000001,153.239
-4.285999775,1.5,1.799999952,154.236
-5.855000019,1.950000048,2.641000032,155.238
-6.190000057,1.057999969,2.640000105,156.228
-4.170000076,2.920000076,2.140000105,157.229
-4.456999779,1.710000038,2.660000086,158.221
-4.245999813,2.309999943,2.099999905,159.216
-3.778000116,2.920000076,2.599999905,160.219
-3.234999895,2.730000019,2.640000105,161.221
-3.573999882,2.048000097,1.427999973,162.219
-3.867000103,1.45599997,2.947000027,163.219
-2.940000057,2.628999949,2.165999889,164.211
-3.313999891,3.065000057,2.638999939,164.276
-4.663000107,2.601000071,2.148999929,165.204
-4.288000107,1.830000043,2.316999912,166.222
-3.756999969,1.470000029,2.164000034,167.22
-3.542000055,2.065000057,2.885999918,168.221
-4.342999935,1.187000036,1.822999954,169.214
-3.674999952,0.855000019,1.154999971,170.226
-3.809000015,2.592999935,1.82099998,171.222
-4.184000015,1.361999989,2.796000004,172.223
-3.243999958,3.056999922,3.617000103,173.226
-4.227000237,3.930999994,3.645999908,174.209
-3.940999985,2.109999895,3.101999998,175.21
-4.52699995,2.47300005,3.361999989,176.227
-3.631000042,3.089999914,3.585000038,177.218
-3.819000006,2.898999929,3.630000114,178.224
-3.778000116,2.588999987,2.539999962,179.222
-3.292000055,2.743000031,2.219000101,180.216
-3.477999926,3.436000109,1.590000033,181.194
-3.279999971,3.405999899,1.779999971,182.186
-2.482000113,3.017999887,2.427000046,183.182
-2.65899992,3.095999956,2.295000076,184.202
-3.826999903,2.565999985,3.845999956,185.201
-3.947000027,2.49000001,3.963999987,186.21
-3.164999962,2.369999886,1.981999993,187.212
-2.624000072,5.376999855,3.075000048,188.201
-2.460000038,4.058000088,3.153000116,189.188
-3.540999889,4.803999901,4.028999805,190.191
-2.404999971,3.963999987,5.381999969,191.176
-1.850999951,4.122000217,4.696000099,191.413
-2.559999943,5.361000061,6.495999813,192.177
-2.529000044,5.577000141,5.545000076,193.172
-2.486999989,5.961999893,6.472000122,194.182
-2.160000086,6.172999859,5.28000021,195.174
-2.068000078,5.160999775,5.84100008,196.17
-2.40199995,5.815999985,5.020999908,197.062
-2.648000002,5.407000065,5.722000122,198.169
-2.319000006,4.478000164,6.558000088,199.156
-2.510999918,6.589000225,5.113999844,200.161
-2.489000082,5.731999874,5.978000164,201.164
-2.947000027,5.775000095,7.393000126,202.152
-3.471999884,5.482999802,5.620999813,203.146
-1.088000059,6.952000141,7.204999924,204.159
0.654999971,7.656000137,7.768000126,204.216
0.654999971,7.656000137,7.768000126,204.285
0.654999971,6.170000076,5.709000111,204.291
0.654999971,7.422999859,6.306000233,204.333
-0.870999992,6.486999989,7.288000107,205.167
-0.870000005,6.486999989,7.288000107,206.161
-0.727999985,6.722000122,6.276000023,207.161
-0.727999985,7.260000229,7.165999889,208.157
-0.744000018,7.097000122,6.68200016,209.161
-0.217999995,7.602000237,6.835000038,210.16
-0.365999997,7,7.467000008,211.131
-0.88499999,6.903999805,7.68200016,212.144
-1.110000014,4.861999989,5.828999996,213.178
-0.291999996,7.120999813,7.198999882,214.156
-0.859000027,7.510000229,7.541999817,215.152
-1.072999954,5.675000191,6.566999912,216.168
-0.63499999,7.81099987,7.104000092,217.185
-0.028999999,6.852000237,6.952000141,218.045
-0.248999998,6.400000095,6.484000206,218.176
-0.432000011,7.934999943,8.01099968,219.181
-0.924000025,7.927999973,6.624000072,220.196
2.00E-03,7.951000214,7.484000206,221.186
0.128000006,6.710000038,7.491000175,222.202
0.407999992,7.394999981,7.659999847,223.195
-1.003999949,7.624000072,8.434000015,224.185
-0.372000009,7.850999832,7.097000122,225.202
0.259000003,7.565000057,7.782999992,226.198
-0.851000011,6.519999981,7.519000053,227.209
-1.146999955,8.326000214,8.626000404,228.202
-0.521000028,7.480999947,8.404999733,229.207
-0.467999995,7.765999794,7.708000183,230.183
-0.663999975,8.036000252,7.147999763,231.197
-0.521000028,8.361000061,8.19699955,232.186
-0.215000004,8.237000465,7.293000221,233.191
0.137999997,8.343000412,8.286999702,234.205
0.414000005,7.122000217,7.964000225,235.208
0.365999997,8.579000473,7.210999966,236.193
0.317000002,7.980999947,7.566999912,237.193
-1.136999965,8.461999893,8.815999985,238.185
0,9.406999588,9.048999786,239.117
-6.40E-02,9.916999817,9.781999588,239.187
0.68900001,9.916999817,9.781999588,240.191
2.140000105,12.2159996,12.35000038,241.226
2.140000105,8.157999992,8.378000259,241.316
2.140000105,9.222999573,8.541000366,241.322
2.140000105,8.776000023,9.81799984,241.395
2.200999975,8.774000168,8.694999695,241.782
2.617000103,8.885000229,8.779000282,242.296
2.576999903,9.281999588,9.645999908,243.177
2.339999914,9.201000214,9.788999557,244.201
1.769000053,9.255000114,9.277000427,245.209
2.306999922,7.769999981,9.458000183,246.204
2.27699995,9.942000389,9.293000221,247.08
2.95600009,10.31200027,9.362000465,248.21
2.627000093,10.18700027,10.65200043,249.208
1.828999996,10.74100018,8.670999527,250.215
1.661999941,9.743000031,9.805999756,251.222
2.21600008,10.44699955,10.88000011,252.221
2.187999964,9.713000298,9.404000282,253.227
2.612999916,10.55599976,7.751999855,254.233
1.69599998,9.265999794,9.102000237,255.242
1.47300005,9.975999832,10.47299957,255.398
2.242000103,10.77700043,9.61400032,256.234
2.881999969,9.713999748,10.13300037,257.251
1.411999941,10.82299995,11.04699993,258.261
2.068000078,9.56000042,10.01399994,259.263
1.299000025,11.79199982,9.895000458,260.273
1.694000006,10.29199982,10.68200016,261.3
2.010999918,10.43799973,10.55500031,262.306
1.922999978,10.90200043,10.82699966,263.353
2.04399991,10.70199966,10.75399971,264.354
2.525000095,10.88099957,10.29300022,265.376
2.137000084,10.41600037,10.91499996,266.368
1.550999999,9.430999756,11.94799995,266.427
2.338999987,11.21800041,10.70300007,267.367
2.532000065,10.8760004,10.07600021,268.356
2.608999968,11.90200043,12.06499958,269.371
2.163000107,11.91499996,11.01000023,270.371
3.704999924,11.65299988,12.70400047,271.359
2.694000006,11.41100025,11.11200047,272.374
3.167000055,10.97299957,13.34799957,273.346
3.002000093,11.80900002,13.04100037,274.353
2.637000084,11.88799953,12.84399986,275.349
3.339999914,10.83300018,12.80099964,276.364
3.828999996,10.8920002,12.38700008,277.341
3.653000116,10.65499973,10.23400021,278.348
3.621999979,10.9289999,11.82699966,279.354
3.565000057,11.50800037,11.59599972,280.36
3.484999895,12.76099968,11.08399963,281.364
3.625999928,9.227999687,11.88799953,282.362
3.5,11.58699989,11.26099968,283.357
4.380000114,12.08399963,13.17000008,284.365
3.665999889,11.54599953,13.10099983,285.371
3.413000107,13.02400017,11.72799969,286.385
3.789999962,12.25199986,12.1960001,287.386
4.436999798,11.62300014,12.29500008,288.382
4.129000187,15.01599979,14.36900043,289.392
4.118000031,15.01599979,15.06799984,290.384
4.400000095,15.66800022,15.66899967,291.388
4.757999897,14.90499973,14.31400013,292.382
6.920000076,14.21700001,15.34599972,292.95
6.920000076,15.33399963,14.84300041,292.991
6.920000076,16.70100021,15.03600025,292.997
6.920000076,13.95100021,14.38700008,293.006
8.133000374,15.65400028,14.86800003,293.142
6.407999992,14.94299984,15.26200008,294.311
5.527999878,15.1590004,15.77600002,295.299
6.285999775,15.90299988,15.38599968,296.302
6.084000111,15.47399998,15.24800014,297.311
5.339000225,14.91800022,14.85099983,298.309
4.843999863,15.35400009,15.45100021,299.31
6.68900013,16.76399994,15.60299969,300.311
6.831999779,16.77300072,16.30999947,301.304
6.28399992,12.62800026,15.30099964,302.301
6.331999779,16.12400055,17.09799957,303.312
6.610000134,16.22200012,17.09399986,304.308
5.914999962,16.4090004,17.66799927,305.306
6.301000118,16.43700027,16.29100037,306.308
6.789999962,16.38100052,15.63799953,307.292
6.677000046,15.03800011,15.1789999,308.317
6.696000099,16.49900055,15.39299965,309.318
6.763000011,17.04400063,14.55000019,310.315
6.761000156,17.85400009,17.71800041,311.329
7.346000195,12.45499992,15.93599987,312.325
6.087999821,17.31599998,17.43400002,313.326
7.021999836,16.52700043,15.52799988,314.333
7.117000103,18.07299995,18.13199997,315.334
7.453000069,17.92900085,18,316.328
7.526000023,17.92900085,18,317.33
7.110000134,20.09399986,19.3010006,318.341
