Ground,LOB,ROB,KM
31.300,40.40000153,41.700,96.220
30.289,39.33000183,43.080,95.358
30.089,37.23099899,37.365,94.882
30.046,37.18799973,37.322,94.363
31.403,42.88399887,39.157,93.616
30.132,32.48699951,36.399,92.204
31.415,40.00500107,37.460,91.355
30.895,38.71099854,36.814,90.378
31.200,38.0320015,38.393,89.383
31.930,39.58300018,36.666,88.442
31.705,40.78300095,43.163,87.973
31.670,39.08599854,37.250,87.459
31.773,36.4980011,38.714,86.439
31.702,36.39799881,38.614,85.442
31.525,41.60499954,41.182,84.471
31.743,41.68899918,38.044,83.508
32.197,36.79999924,40.793,82.538
31.672,39.70500183,38.190,81.580
30.927,41.19599915,38.165,80.633
31.393,39.61800003,39.243,79.673
31.626,41.72499847,38.772,78.665
31.626,38.26499939,39.924,77.743
30.775,39.62799835,36.052,76.723
30.824,39.74200058,40.253,75.754
33.331,43.08200073,39.720,74.863
32.666,41.24399948,42.286,74.778
33.298,42.34400177,42.804,73.834
33.687,39.04800034,40.718,72.898
33.753,40.25799942,37.765,71.929
32.349,40.78099823,40.569,71.012
32.803,41.40999985,39.130,70.033
34.057,39.69499969,39.364,69.067
34.049,40.16899872,41.023,68.181
33.270,43.01200104,40.808,67.305
33.585,41.05699921,42.103,66.329
32.963,40.3769989,42.798,65.325
33.346,40.17699814,40.621,64.410
32.663,40.1269989,42.465,63.409
33.457,42.61199951,40.998,62.420
33.076,4.05E+01,36.940,61.420
33.772,41.7879982,41.645,60.407
33.165,41.5359993,39.104,59.501
33.822,40.26200104,42.568,58.546
33.002,39.85900116,41.660,57.609
32.942,41.47999954,39.627,56.650
34.163,43.07500076,41.219,55.662
34.014,40.76399994,42.587,54.702
34.182,41.82899857,42.426,53.725
34.378,42.35499954,41.807,52.740
35.380,40.24100113,41.965,51.800
35.498,40.25600052,42.229,50.822
34.291,42.51699829,42.429,49.847
33.329,46.08300018,46.046,48.961
34.528,43.46900177,40.047,48.826
35.580,42.33499908,41.987,47.834
36.956,40.53699875,40.637,47.527
34.852,44.33300018,43.542,46.898
34.883,44.43700027,43.301,45.977
34.768,43.20000076,44.840,45.005
37.862,43.56900024,41.976,44.020
34.302,43.5340004,42.647,43.031
34.628,43.48699951,43.281,42.024
34.549,44.26599884,45.551,41.029
35.158,42.9659996,43.482,40.045
34.603,43.5340004,44.298,39.063
36.507,45.27000046,43.389,38.079
36.204,44.02600098,41.792,37.123
36.201,44.64799881,42.371,36.124
36.168,44.73899841,42.338,35.157
36.597,43.19200134,43.733,34.171
36.808,45.23699951,43.608,33.177
37.522,44.56200027,43.693,32.180
37.253,44.73500061,45.086,31.182
37.051,45.50899887,43.698,30.817
36.934,45.39199829,43.581,29.823
37.055,45.29299927,44.167,28.809
37.098,46.30799866,46.339,28.710
38.039,45.43000031,45.799,27.787
37.813,42.72700119,46.656,26.763
38.138,45.94599915,44.205,25.760
37.835,45.85200119,44.483,24.770
38.065,45.7480011,45.004,23.801
38.099,46.57400131,45.597,22.811
39.582,45.3390007,45.636,21.823
38.622,45.67300034,48.208,20.841
39.039,47.66799927,47.668,19.875
39.068,48.42499924,47.822,18.891
38.839,48.40100098,45.320,18.096
39.138,47.78099823,48.440,17.094
39.176,47.53499985,44.516,16.061
39.776,47.88700104,46.201,15.049
39.771,49.05099869,48.269,14.037
39.718,49.06100082,48.195,13.107
39.771,49.7120018,48.938,12.146
39.218,48.80899811,48.763,11.774
40.054,49.20399857,49.203,11.437
40.003,48.3429985,48.109,10.430
40.325,48.96500015,48.823,9.438
40.400,49.64400101,50.143,8.439
40.051,49.27600098,48.552,7.450
41.136,49.52999878,49.177,6.438
40.473,49.22800064,49.125,5.444
40.328,50.38100052,48.030,4.467
41.395,49.68700027,49.701,3.473
41.377,49.56999969,49.554,2.986
41.596,48.71099854,50.234,2.483
41.630,48.30400085,49.924,1.963
42.061,48.55500031,48.914,1.494
42.018,48.25600052,48.917,0.997
42.362,51.56600189,51.483,0.597
42.003,48.54299927,48.902,0.499
41.053,48.94100189,50.627,0.016
41.048,48.93600082,49.560,0.000
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
