Ground,LOB,ROB,KM
42.362,51.566,51.483,0.000
41.053,50.219,50.627,0.126
42.003,49.542,49.349,0.784
42.018,49.391,49.341,1.133
42.061,49.196,49.680,1.798
41.630,50.568,50.503,2.141
41.596,50.581,50.653,2.856
41.377,50.455,49.554,3.773
41.395,50.607,50.574,4.706
40.328,50.381,49.963,5.785
40.473,50.654,51.163,6.793
41.136,50.075,50.365,7.774
40.051,50.088,50.442,8.789
40.400,50.460,50.143,9.751
40.325,50.244,49.957,10.762
40.003,49.783,50.145,11.134
40.054,49.204,49.843,11.732
39.218,50.041,49.814,12.827
39.771,49.712,49.999,13.788
39.718,49.061,48.742,14.980
39.771,49.051,48.269,15.766
39.776,48.898,47.909,16.782
39.176,48.848,47.878,17.787
39.776,48.898,47.909,18.722
39.176,48.848,47.878,19.782
39.138,48.463,48.440,20.779
38.839,48.401,47.650,21.787
39.068,48.425,48.360,22.767
39.039,47.668,48.017,23.814
38.622,47.670,48.611,24.143
39.582,47.431,45.636,25.128
38.099,46.574,47.281,26.137
38.065,47.411,46.229,27.129
37.835,47.280,46.755,28.126
38.138,45.946,46.405,29.140
37.813,45.156,46.656,29.743
38.039,45.430,45.799,31.262
37.098,46.308,46.339,31.981
37.055,45.293,45.528,32.994
36.934,45.392,45.459,34.035
37.051,45.509,45.561,34.997
37.253,44.735,45.679,35.169
37.522,44.562,45.611,36.009
36.808,45.237,45.413,36.992
36.597,44.628,43.733,37.993
36.168,44.739,43.804,39.008
36.201,44.648,44.150,39.993
36.204,45.434,45.568,41.000
36.507,45.270,44.797,41.971
34.603,43.534,44.298,42.998
35.158,44.149,44.455,43.977
34.549,44.266,45.551,44.997
34.628,44.420,44.698,46.000
34.302,44.098,42.647,46.997
37.862,43.569,42.673,47.191
34.768,44.147,44.840,48.004
34.883,44.437,44.685,48.478
34.852,44.333,44.549,48.981
36.956,45.716,45.747,49.725
33.343,46.083,46.046,49.879
34.528,43.469,41.168,49.935
33.523,46.038,46.007,50.083
34.291,42.517,43.352,50.929
35.498,42.574,43.548,51.907
35.380,43.372,43.077,52.901
34.378,43.128,41.807,53.843
34.182,43.578,42.426,54.312
34.014,42.810,43.894,54.826
34.163,43.075,43.208,55.846
32.942,42.924,40.346,56.843
33.002,43.068,42.673,57.814
33.822,42.966,42.568,58.777
33.165,43.494,41.413,59.747
33.772,43.535,41.645,60.704
33.076,40.519,40.953,61.652
33.457,42.612,42.119,62.612
32.963,40.980,41.000,63.620
32.963,40.980,41.000,64.541
32.663,41.240,42.465,65.562
33.346,43.051,42.235,66.531
32.963,43.289,42.798,67.422
33.585,41.057,42.103,67.507
33.270,43.012,41.497,68.451
34.049,40.169,39.866,69.387
34.057,41.857,43.167,70.356
32.803,41.410,41.319,71.273
32.349,40.781,43.384,72.252
33.753,41.362,43.173,73.218
33.687,40.111,40.718,74.104
33.298,42.344,42.804,74.980
32.666,41.244,43.096,75.956
33.331,43.082,42.712,76.960
30.824,41.350,42.143,77.262
30.775,40.863,41.171,77.341
31.626,40.794,41.081,77.875
31.626,41.725,40.657,78.876
31.393,42.220,42.009,79.865
30.927,41.196,40.589,80.865
31.672,39.705,40.127,81.878
32.197,40.942,40.722,82.784
31.743,41.689,40.844,83.739
31.525,41.605,41.182,84.676
31.702,40.063,41.692,85.635
31.705,40.783,43.163,86.623
31.670,39.086,37.775,87.583
31.930,39.583,37.235,88.560
31.200,40.188,38.393,89.545
30.895,38.711,40.047,90.485
31.415,40.399,39.528,91.463
29.500,44.000,44.000,92.438
29.500,44.000,44.000,93.325
35.724,39.739,40.635,93.459
30.132,39.963,37.049,94.451
31.403,42.884,39.157,94.758
30.289,39.330,43.080,95.387
31.300,40.400,41.700,96.308
30.306,42.398,42.681,97.280
29.937,39.717,41.473,98.265
30.426,40.537,39.864,99.254
30.626,39.697,39.281,100.261
29.617,39.229,40.818,101.256
25.543,40.324,41.834,102.240
25.788,41.142,40.307,103.222
30.054,41.750,41.364,104.206
30.992,40.213,41.764,105.162
28.977,40.096,40.045,106.161
29.811,40.128,40.127,107.128
28.919,40.269,40.832,108.114
29.294,41.170,45.629,109.108
27.766,36.150,40.456,110.105
29.252,39.380,41.067,111.103
29.860,40.417,41.440,111.468
30.381,39.873,41.365,112.462
30.691,39.963,39.874,113.476
28.965,40.614,39.491,113.575
29.793,39.573,39.921,114.498
26.595,40.207,40.034,115.522
30.168,39.791,40.769,116.525
30.001,42.019,38.836,117.515
29.555,41.297,38.996,118.484
28.514,37.519,39.924,119.474
30.291,39.073,40.429,120.462
29.796,40.735,39.681,121.444
33.061,38.106,38.520,122.410
29.043,37.673,40.210,123.394
30.693,39.240,38.300,124.040
27.820,38.628,38.419,125.042
27.820,38.628,38.419,126.075
31.061,37.927,36.778,127.088
30.209,37.034,39.479,128.099
30.483,39.477,36.890,129.029
30.027,37.818,37.663,129.990
26.069,37.473,38.177,130.362
28.721,38.036,39.130,130.699
27.489,39.794,39.054,131.706
29.873,37.809,37.745,132.699
29.461,38.247,37.333,133.697
30.020,38.794,37.881,134.686
30.859,36.631,36.874,135.698
29.962,37.154,39.350,136.692
30.068,40.265,38.265,137.670
30.809,36.139,36.270,138.663
30.652,34.631,35.483,139.150
28.984,37.454,36.378,139.653
29.198,37.519,37.018,140.173
29.632,37.630,37.601,140.643
29.153,37.439,36.828,141.140
28.832,37.434,37.631,141.537
30.151,38.286,38.091,141.637
30.280,38.537,38.679,142.120
