"sta_code","datetime","wl","discharge"
"Y.4","2026-02-28 07:00:00","46.38",NULL
"Y.15","2026-02-28 07:00:00","39.13",NULL
"Y.50","2026-02-28 07:00:00","39.08",NULL
"Y.16","2026-02-28 07:00:00","36.33",NULL
"Y.64","2026-02-28 07:00:00","36.23",NULL
"Y.4","2026-03-02 07:00:00","47.16",NULL
"Y.15","2026-03-02 07:00:00","39.04",NULL
"Y.50","2026-03-02 07:00:00","39.32",NULL
"Y.16","2026-03-02 07:00:00","36.54",NULL
"Y.64","2026-03-02 07:00:00","36.42",NULL
"Y.4","2024-01-01 07:00:00","45.55",NULL
"Y.15","2024-01-01 07:00:00","39.49",NULL
"Y.50","2024-01-01 07:00:00","38.93",NULL
"Y.16","2024-01-01 07:00:00","33.89",NULL
"Y.64","2024-01-01 07:00:00","34.63",NULL
"Y.4","2024-01-02 07:00:00","45.57",NULL
"Y.15","2024-01-02 07:00:00","39.41",NULL
"Y.50","2024-01-02 07:00:00","38.94",NULL
"Y.16","2024-01-02 07:00:00","33.92",NULL
"Y.64","2024-01-02 07:00:00","34.63",NULL
"Y.4","2024-01-03 07:00:00","45.51",NULL
"Y.15","2024-01-03 07:00:00","39.3",NULL
"Y.50","2024-01-03 07:00:00","38.93",NULL
"Y.16","2024-01-03 07:00:00","33.91",NULL
"Y.64","2024-01-03 07:00:00","34.63",NULL
