"sta_code","datetime","wl_upper","wl_lower","discharge","rain_mm"
"tng","2026-04-23 07:00:00","38.2","36.02","0","0"
"wst","2026-04-23 07:00:00","39.32","38.21","0","0"
"tng","2025-01-31 07:00:00","7.46","5.08","0",NULL
"tng","2025-02-01 07:00:00","7.82","5.14","0",NULL
"tng","2025-02-02 07:00:00","8.25","5.62","0",NULL
"tng","2025-02-03 07:00:00","7.11","5.75","0.09",NULL
"tng","2025-02-04 07:00:00","7.33","5.81","0.09",NULL
"tng","2025-02-05 07:00:00","7.06","5.66","0",NULL
"tng","2025-02-06 07:00:00","7.07","5.89","0.15",NULL
"tng","2025-02-07 07:00:00","6.51","5.82","0",NULL
"tng","2025-02-09 07:00:00","7.46","5.53","0",NULL
"tng","2025-02-10 07:00:00","7.9","5.71","0",NULL
"tng","2025-02-11 07:00:00","7.5","5.67","0",NULL
"tng","2025-02-12 07:00:00","5.28","5.08","0.31",NULL
"tng","2025-02-13 07:00:00","5.1","4.92","0.31",NULL
"tng","2025-02-14 07:00:00","5.86","4.9","0.01",NULL
"tng","2025-02-15 07:00:00","5.81","4.93","0.01",NULL
"tng","2025-02-16 07:00:00","5.78","4.93","0.01",NULL
"tng","2025-02-17 07:00:00","6.39","4.89","0",NULL
"tng","2025-02-18 07:00:00","6.7","4.91","0",NULL
"tng","2025-02-19 07:00:00","7.3","4.97","0",NULL
"tng","2025-02-20 07:00:00","4.85","4.79","0.05",NULL
"tng","2025-02-21 07:00:00","4.98","4.7","0",NULL
"tng","2025-03-08 07:00:00","7.23","5.8","0",NULL
"tng","2025-03-09 07:00:00","6.93","5.73","0",NULL
