"sta_code","datetime","rain_mm"
"120160","2019-12-31","0"
"120160","2020-01-01","0"
"120160","2020-01-02","0"
"120160","2020-01-03","0"
"120160","2020-01-04","0"
"120160","2020-01-05","0"
"120160","2020-01-06","0"
"120160","2020-01-07","0"
"120160","2020-01-08","0"
"120160","2020-01-09","0"
"120160","2020-01-10","0"
"120160","2020-01-11","0"
"120160","2020-01-12","0"
"120160","2020-01-13","0"
"120160","2020-01-14","0"
"120160","2020-01-15","0"
"120160","2020-01-16","0"
"120160","2020-01-17","0"
"120160","2020-01-18","0"
"120160","2020-01-19","0"
"120160","2020-01-20","0"
"120160","2020-01-21","0"
"120160","2020-01-22","0"
"120160","2020-01-23","0"
"120160","2020-01-24","0"
