"sta_code","datetime","wl","discharge","rain_mm"
"YR.01","2026-08-21 04:54:59","39.7846",NULL,"0"
"YR.03","2026-08-21 11:52:26","43.4814",NULL,"1.8"
"YR.05","2026-08-21 11:55:06","39.9534",NULL,"1.2"
"YR.02","2026-08-21 11:55:19","39.806",NULL,"1.6"
"YR.06","2026-08-21 11:54:32","38.1969",NULL,"2"
"YR.04","2026-08-19 23:52:59","39.6705",NULL,"26.4"
"YR.03","2026-08-21 11:57:26","43.4841",NULL,"1.8"
"YR.06","2026-08-21 11:59:32","38.1946",NULL,"2"
"YR.01","2026-08-21 04:59:59","39.796",NULL,"0"
"YR.02","2026-08-21 12:00:20","39.8131",NULL,"1.6"
"YR.05","2026-08-21 12:00:06","39.9576",NULL,"1.2"
"YR.05","2026-08-21 12:05:06","39.9576",NULL,"1.2"
"YR.06","2026-08-21 12:09:33","38.1946",NULL,"2"
"YR.03","2026-08-21 12:07:26","43.4855",NULL,"1.8"
"YR.01","2026-08-21 05:04:59","39.796",NULL,"0"
"YR.02","2026-08-21 12:05:20","39.8131",NULL,"1.6"
"YR.01","2026-08-21 05:09:59","39.7922",NULL,"0"
"YR.02","2026-08-21 12:10:20","39.8167",NULL,"1.6"
"YR.05","2026-08-21 12:10:06","39.966",NULL,"1.2"
"YR.03","2026-08-21 12:12:26","43.4855",NULL,"1.8"
"YR.06","2026-08-21 12:14:33","38.1946",NULL,"2"
"YR.01","2026-08-21 05:14:59","39.7922",NULL,"0"
"YR.02","2026-08-21 12:15:20","39.8202",NULL,"1.6"
"YR.05","2026-08-21 12:15:06","39.966",NULL,"1.2"
"YR.03","2026-08-21 12:17:26","43.4882",NULL,"1.8"
